year,title,IMDb ID
2025,Hamnet,tt14905854
2025,Frankenstein,tt1312221
2025,Wake Up Dead Man,tt14364480
2024,The Life of Chuck,tt12908150
2024,Emilia Pérez,tt20221436
2024,Anora,tt28607951
2023,American Fiction,tt23561236
2023,The Holdovers,tt14849194
2023,The Boy and the Heron,tt6587046
2022,The Fabelmans,tt14208870
2022,Women Talking,tt13669038
2022,Glass Onion: A Knives Out Mystery,tt11564570
2021,Belfast,tt12789558
2021,Scarborough,tt12890988
2021,The Power of the Dog,tt10293406
2020,Nomadland,tt9770150
2020,One Night in Miami...,tt10612922
2020,Beans,tt11735544
2019,Jojo Rabbit,tt2584384
2019,Marriage Story,tt7653254
2019,Parasite,tt6751668
2018,Green Book,tt6966692
2018,If Beale Street Could Talk,tt7125860
2018,Roma,tt6155172
2017,"Three Billboards Outside Ebbing, Missouri",tt5027774
2017,"I, Tonya",tt5580036
2017,Call Me by Your Name,tt5726616
2016,La La Land,tt3783958
2016,Lion,tt3741834
2016,Queen of Katwe,tt4341582
2015,Room,tt3170832
2015,Angry Indian Goddesses,tt3368222
2015,Spotlight,tt1895587
2014,The Imitation Game,tt2084970
2014,Learning to Drive,tt3062976
2014,St. Vincent,tt2170593
2013,12 Years a Slave,tt2024544
2013,Philomena,tt2431286
2013,Prisoners,tt1392214
2012,Silver Linings Playbook,tt1045658
2012,Argo,tt1024648
2012,Zaytoun,tt2131698
2011,Where Do We Go Now?,tt1772424
2011,Starbuck,tt1756750
2011,A Separation,tt1832382
2010,The King's Speech,tt1504320
2010,The First Grader,tt0790663
2009,Precious: Based on the Novel 'Push' by Sapphire,tt0929632
2009,Mao's Last Dancer,tt1071812
2009,Micmacs,tt1149361
2008,Slumdog Millionaire,tt1010048
2008,More Than a Game,tt1286821
2008,The Stoning of Soraya M,tt1277737
2007,Eastern Promises,tt0765443
2007,Juno,tt0467406
2007,Body of War,tt1068634
2006,Bella,tt0482463
2006,My Best Friend,tt0778784
2006,Dixie Chicks: Shut Up and Sing,tt0811136
2005,Tsotsi,tt0468565
2005,Live and Become,tt0388505
2005,Dreamer,tt0418647
2005,Brokeback Mountain,tt0388795
2005,Mother of Mine,tt0343221
2004,Hotel Rwanda,tt0395169
2003,Zatōichi,tt0363226
2003,Go Further,tt0366522
2003,The Corporation,tt0379225
2002,Whale Rider,tt0298228
2002,Bowling for Columbine,tt0310793
2002,Bend It Like Beckham,tt0286499
2001,Amélie,tt0211915
2001,Maya,tt0299027
2001,Monsoon Wedding,tt0265343
2000,"Crouching Tiger, Hidden Dragon",tt0190332
2000,The Dish,tt0205873
2000,Innocence,tt0251141
2000,Billy Elliot,tt0249462
1999,American Beauty,tt0169547
1998,Life Is Beautiful,tt0118799
1997,The Hanging Garden,tt0125128
1996,Shine,tt0117631
1995,Antonia,tt0112379
1994,Priest,tt0110889
1993,The Snapper,tt0108170
1992,Strictly Ballroom,tt0105488
1991,The Fisher King,tt0101889
1990,Cyrano de Bergerac,tt0099334
1989,Roger & Me,tt0098213
1988,Women on the Verge of a Nervous Breakdown,tt0095675
1987,The Princess Bride,tt0093779
1986,The Decline of the American Empire,tt0090985
1985,The Official Story,tt0089276
1984,Places in the Heart,tt0087921
1983,The Big Chill,tt0085244
1982,Tempest,tt0084776
1981,Chariots of Fire,tt0082158
1980,Bad Timing,tt0080408
1979,Best Boy,tt0078850
1978,Girlfriends,tt0077613
